Legend,Meta Share %
Draven,18%
Irelia,12%
Kai'sa,11%
Viktor,6%
Fiora,6%
Ezreal,5%
Azir,4%
Sivir,3%
Master Yi (PG),3%
Annie,2%
Lucian,2%
Reksai,2%
Jax,2%
Ornn,2%
Rumble,2%
