Rank,Legend,Player,Archetype,Price,Conversion
1st,"Annie, Dark Child",Dhawall,chaosfury,$221.80,26%
2nd,"Master Yi, Wuju Bladesman",Challenger TCG,bodycalm,$276.43,41%
3rd,"Annie, Dark Child",Zent,chaosfury,$218.63,28%
Top4,"Annie, Dark Child",Prymor,chaosfury,$231.37,24%
Top8,"Kai'sa, Daughter of the Void",Mateusz Jasinski,furymind,$216.96,20%
Top8,"Master Yi, Wuju Bladesman",Clyde,bodycalm,$208.11,26%
Top8,"Kai'sa, Daughter of the Void",GEORGEG,furymind,$282.45,18%
Top8,"Annie, Dark Child",Diego NoVeggies,chaosfury,,
